Rank,Book ID,Title,Relevance
1,192780,The Coming of the American Civil War (Problems in American Civilization),1
2,96218,The Civil War and reconstruction,1
3,78390,History of the American Civil War,1
4,131853,1861 A Time For Glory (Civil War Soldier) (Bk. 1),1
5,91768,Words for the Hour: A New Anthology of American Civil War Poetry,1
6,171243,"Expansion and conflict, (The Riverside history of the United States)",1
7,147459,"""Words for the Hour"": A New Anthology of American Civil War Poetry",1
8,203486,Echoes of the Falling Spring,1
9,55290,Causes of the Civil War (The Road to War: Causes of Conflict),1
10,150476,Corydon the Forgotten Battle of the Civil War: The Forgotten Battle of the Civil War,1
11,130895,To Gettysburg And Beyond: The Parallel Lives Of Joshua Chamberlain And Edward Porter Alexander,1
12,96391,The Civil War and Reconstruction,1
13,49779,Mel Bay Presents Infantry Bugle Calls of the American Civil War,1
14,154586,Shades of Blue and Gray: An Introductory Military History of the Civil War,1
15,149810,"Madness, Malingering & Malfeasance: The Transformation of Psychiatry and the Law in the Civil War Era",1
16,15802,Victory Rode the Rails: The Strategic Place of the Railroads in the Civil War,1
17,187794,Children of Cain,1
18,2932,Seen By Moonlight,1
19,181492,American Civil War Zouaves (Elite),1
20,118521,Rebel Baron,0
21,89855,Civil War Genealogy,1
22,65192,Paddy Owen's Regulars,1
23,179042,Leaders of the American Civil War,1
24,152553,"Cavalry Battle That Saved the Union, The: Custer vs. Stuart at Gettysburg",1
25,158644,"The slave power: Its character, career and probable designs : being an attempt to explain the real issues involved in the American contest",1
26,12326,"Stonewall Jackson and the American Civil War,",1
27,82002,Stonewall Jackson and the American Civil War,1
28,159071,"Stonewall Jackson and the American civil war,",1
29,196553,Battle Tactics of the American Civil War,1
30,134419,"Great Britain and the American Civil War,",1
31,133728,Stonewall Jackson and the American civil war,1
32,179873,Great Britain and the American Civil War,1
33,35557,With Lee in Virginia: A story of the American civil war,1
34,67702,Personal Memoirs of Ulysses S. Grant,1
35,141562,Gods and Generals: The Paintings of Mort K&uuml;nstler,1
36,173471,The Civil War Memoirs of Ulysses S. Grant,1
37,178380,Sibley's New Mexico campaign,1
38,98702,The God of War (Journal of Confederate History Series),1
39,130832,"Encyclopedia of the American Civil War: A Political, Social, and Military History (5 Volumes)",1
40,91641,The Coming Fury,1
